date;code;n_events;tone_sum;tone_cnt;n_14;n_17;n_18;n_19;n_20
2023-02-23;TW;571;-978.7158656714372;571;1.0;12.0;1.0;19.0;0.0
2023-02-23;UP;9338;-25735.708856831297;9338;52.0;177.0;141.0;676.0;3.0
2023-02-23;US;45358;-107392.5810607572;45358;256.0;2796.0;847.0;3343.0;3.0
2023-02-24;GM;2161;-4782.726260313779;2161;30.0;60.0;22.0;91.0;0.0
2023-02-24;IS;2929;-10210.61418587886;2929;59.0;61.0;46.0;455.0;7.0
2023-02-24;NI;3307;-4830.56428242593;3307;33.0;267.0;43.0;186.0;0.0
2023-02-24;PK;2118;-4979.343489855561;2118;21.0;198.0;40.0;126.0;0.0
2023-02-24;RS;11490;-37724.725161719405;11490;154.0;334.0;164.0;645.0;4.0
2023-02-24;TW;611;-731.4017818434181;611;0.0;9.0;0.0;21.0;0.0
2023-02-24;UP;14457;-37534.65138345908;14457;131.0;218.0;177.0;756.0;4.0
2023-02-24;US;42237;-95890.16847878652;42237;274.0;2384.0;742.0;2714.0;0.0
2023-02-25;GM;2103;-959.0146878676596;2103;18.0;31.0;9.0;32.0;0.0
2023-02-25;IS;1716;-6414.560428892682;1716;49.0;63.0;13.0;204.0;2.0
2023-02-25;NI;3335;-2909.5351887227807;3335;19.0;164.0;33.0;193.0;0.0
2023-02-25;PK;1703;-5936.683439858764;1703;24.0;107.0;42.0;154.0;0.0
2023-02-25;RS;6277;-19648.714282214016;6277;146.0;170.0;79.0;374.0;0.0
2023-02-25;TW;253;-67.81529487839745;253;2.0;5.0;0.0;17.0;0.0
2023-02-25;UP;7335;-17975.062266158016;7335;103.0;109.0;63.0;427.0;1.0
2023-02-25;US;26586;-57869.66552493771;26586;146.0;1432.0;441.0;1526.0;0.0
2023-02-26;GM;1277;-1987.400230233104;1277;36.0;41.0;15.0;52.0;0.0
2023-02-26;IS;3522;-16066.025153075852;3522;82.0;124.0;48.0;531.0;2.0
2023-02-26;NI;2459;-3766.371652027592;2459;30.0;131.0;42.0;97.0;0.0
2023-02-26;PK;1522;-5816.54885071083;1522;30.0;113.0;59.0;184.0;0.0
2023-02-26;RS;4277;-12965.99419872247;4277;80.0;116.0;50.0;254.0;4.0
2023-02-26;TW;189;-437.9307260197542;189;2.0;6.0;2.0;19.0;0.0
2023-02-26;UP;4522;-11455.807031495073;4522;78.0;95.0;65.0;316.0;0.0
2023-02-26;US;16702;-30733.554363560263;16702;130.0;792.0;187.0;1037.0;5.0
2023-02-27;GM;1503;-2462.879232151431;1503;18.0;31.0;18.0;62.0;0.0
2023-02-27;IS;4899;-25915.1137325116;4899;55.0;230.0;219.0;1009.0;7.0
2023-02-27;NI;2594;-3704.872567763411;2594;37.0;131.0;60.0;117.0;0.0
2023-02-27;PK;1864;-7496.533068896266;1864;64.0;138.0;49.0;291.0;0.0
2023-02-27;RS;6734;-20049.02072807314;6734;63.0;211.0;101.0;501.0;1.0
2023-02-27;TW;531;-495.45501232074105;531;5.0;6.0;2.0;22.0;0.0
2023-02-27;UP;6672;-16984.961266099832;6672;58.0;121.0;88.0;560.0;1.0
2023-02-27;US;31631;-56471.80211210541;31631;235.0;1571.0;419.0;1835.0;4.0
2023-02-28;GM;1764;-3439.1056593359103;1764;11.0;103.0;31.0;82.0;0.0
2023-02-28;IS;4407;-21323.07124474045;4407;63.0;186.0;89.0;826.0;7.0
2023-02-28;NI;2938;-4772.656361555102;2938;13.0;93.0;51.0;111.0;0.0
2023-02-28;PK;1774;-4605.276347698573;1774;30.0;116.0;16.0;158.0;0.0
2023-02-28;RS;7233;-21319.65630702662;7233;31.0;209.0;101.0;599.0;3.0
2023-02-28;TW;688;-1147.9377910829255;688;13.0;34.0;1.0;26.0;0.0
2023-02-28;UP;6179;-17854.333373804304;6179;16.0;114.0;97.0;562.0;3.0
2023-02-28;US;40764;-82929.94251358211;40764;313.0;2313.0;576.0;2415.0;6.0
2023-03-01;GM;1768;-3603.2966664725673;1768;17.0;90.0;8.0;57.0;0.0
2023-03-01;IS;3598;-18785.10232518071;3598;127.0;229.0;78.0;679.0;10.0
2023-03-01;NI;3788;-1568.9435406254977;3788;51.0;117.0;37.0;106.0;0.0
2023-03-01;PK;1571;-3971.230858714483;1571;38.0;105.0;27.0;119.0;0.0
2023-03-01;RS;7293;-21002.664561053;7293;44.0;171.0;115.0;635.0;6.0
2023-03-01;TW;577;-486.64411201218263;577;6.0;16.0;2.0;23.0;0.0
2023-03-01;UP;5808;-16336.992211590255;5808;33.0;77.0;90.0;578.0;1.0
2023-03-01;US;43211;-85329.7657145961;43211;374.0;2467.0;599.0;2555.0;11.0
2023-03-02;GM;2027;-2330.0681747748345;2027;16.0;57.0;10.0;86.0;3.0
2023-03-02;IS;4119;-19793.628578652097;4119;120.0;230.0;104.0;593.0;9.0
2023-03-02;NI;3457;-23.51409531815036;3457;29.0;80.0;21.0;152.0;1.0
2023-03-02;PK;1757;-4988.348544976037;1757;31.0;99.0;38.0;116.0;0.0
2023-03-02;RS;7908;-26471.167984274813;7908;48.0;221.0;122.0;743.0;3.0
2023-03-02;TW;643;-156.01702699540803;643;4.0;23.0;2.0;22.0;0.0
2023-03-02;UP;6048;-20659.05290926175;6048;22.0;109.0;118.0;664.0;4.0
2023-03-02;US;42835;-89362.91627861025;42835;378.0;2482.0;652.0;2712.0;9.0
2023-03-03;GM;2806;-2335.634610791663;2806;22.0;66.0;12.0;78.0;1.0
2023-03-03;IS;3199;-14065.52951463272;3199;74.0;125.0;78.0;446.0;2.0
